"filename", "language", "Markdown", "JavaScript", "HTML", "JSON", "comment", "blank", "total"
"c:\Dev\gateway-web-app\Client\ReactQuiz\README.md", "Markdown", -5, 0, 0, 0, 0, -5, -10
"c:\Dev\gateway-web-app\Client\ReactQuiz\data\questions.json", "JSON", 0, 0, 0, -139, 0, -1, -140
"c:\Dev\gateway-web-app\Client\ReactQuiz\package-lock.json", "JSON", 0, 0, 0, -18312, 0, -1, -18313
"c:\Dev\gateway-web-app\Client\ReactQuiz\package.json", "JSON", 0, 0, 0, -40, 0, -1, -41
"c:\Dev\gateway-web-app\Client\ReactQuiz\public\index.html", "HTML", 0, 0, -18, 0, 0, -1, -19
"c:\Dev\gateway-web-app\Client\ReactQuiz\src\components\App.js", "JavaScript", 0, -148, 0, 0, -6, -16, -170
"c:\Dev\gateway-web-app\Client\ReactQuiz\src\components\DateCounter.js", "JavaScript", 0, -65, 0, 0, -4, -18, -87
"c:\Dev\gateway-web-app\Client\ReactQuiz\src\components\Error.js", "JavaScript", 0, -8, 0, 0, 0, -2, -10
"c:\Dev\gateway-web-app\Client\ReactQuiz\src\components\FinishScreen.js", "JavaScript", 0, -25, 0, 0, 0, -4, -29
"c:\Dev\gateway-web-app\Client\ReactQuiz\src\components\Footer.js", "JavaScript", 0, -4, 0, 0, 0, -2, -6
"c:\Dev\gateway-web-app\Client\ReactQuiz\src\components\Header.js", "JavaScript", 0, -11, 0, 0, 0, -2, -13
"c:\Dev\gateway-web-app\Client\ReactQuiz\src\components\Main.js", "JavaScript", 0, -4, 0, 0, 0, -2, -6
"c:\Dev\gateway-web-app\Client\ReactQuiz\src\components\NextButton.js", "JavaScript", 0, -22, 0, 0, 0, -4, -26
"c:\Dev\gateway-web-app\Client\ReactQuiz\src\components\Options.js", "JavaScript", 0, -26, 0, 0, 0, -3, -29
"c:\Dev\gateway-web-app\Client\ReactQuiz\src\components\Progress.js", "JavaScript", 0, -14, 0, 0, 0, -3, -17
"c:\Dev\gateway-web-app\Client\ReactQuiz\src\components\Question.js", "JavaScript", 0, -10, 0, 0, 0, -3, -13
"c:\Dev\gateway-web-app\Client\ReactQuiz\src\components\StartScreen.js", "JavaScript", 0, -20, 0, 0, 0, -2, -22
"c:\Dev\gateway-web-app\Client\ReactQuiz\src\components\Timer.js", "JavaScript", 0, -19, 0, 0, -2, -6, -27
"c:\Dev\gateway-web-app\Client\ReactQuiz\src\index.js", "JavaScript", 0, -10, 0, 0, 0, -2, -12
"Total", "-", -5, -386, -18, -18491, -12, -78, -18990
