"filename", "language", "JavaScript", "CSS", "XML", "JSON", "comment", "blank", "total"
"c:\Dev\gateway-web-app\Client\src\App.css", "CSS", 0, 25, 0, 0, 0, 3, 28
"c:\Dev\gateway-web-app\Client\src\App.jsx", "JavaScript", 19, 0, 0, 0, 0, 3, 22
"c:\Dev\gateway-web-app\Client\src\Contexts\AuthContext.jsx", "JavaScript", 51, 0, 0, 0, 10, 14, 75
"c:\Dev\gateway-web-app\Client\src\Contexts\SearchContext.jsx", "JavaScript", 16, 0, 0, 0, 4, 7, 27
"c:\Dev\gateway-web-app\Client\src\Contexts\UserContext.jsx", "JavaScript", 118, 0, 0, 0, 12, 20, 150
"c:\Dev\gateway-web-app\Client\src\Loader.jsx", "JavaScript", 9, 0, 0, 0, 0, 1, 10
"c:\Dev\gateway-web-app\Client\src\Pages\AdminDashboard.jsx", "JavaScript", 96, 0, 0, 0, 6, 16, 118
"c:\Dev\gateway-web-app\Client\src\Pages\ComingSoon.jsx", "JavaScript", 35, 0, 0, 0, 0, 4, 39
"c:\Dev\gateway-web-app\Client\src\Pages\Homepage\Home.css", "CSS", 0, 78, 0, 0, 6, 6, 90
"c:\Dev\gateway-web-app\Client\src\Pages\Homepage\HomePage.jsx", "JavaScript", 76, 0, 0, 0, 18, 10, 104
"c:\Dev\gateway-web-app\Client\src\Pages\Login\Login.css", "CSS", 0, 113, 0, 0, 2, 17, 132
"c:\Dev\gateway-web-app\Client\src\Pages\Login\Login.jsx", "JavaScript", 199, 0, 0, 0, 7, 22, 228
"c:\Dev\gateway-web-app\Client\src\Pages\PageNotFound.jsx", "JavaScript", 4, 0, 0, 0, 0, 2, 6
"c:\Dev\gateway-web-app\Client\src\Pages\PupilDashboard.jsx", "JavaScript", 32, 0, 0, 0, 1, 4, 37
"c:\Dev\gateway-web-app\Client\src\Pages\RegistrationPage.jsx", "JavaScript", 234, 0, 0, 0, 26, 44, 304
"c:\Dev\gateway-web-app\Client\src\Pages\TeacherDashboard.jsx", "JavaScript", 31, 0, 0, 0, 1, 4, 36
"c:\Dev\gateway-web-app\Client\src\assets\react.svg", "XML", 0, 0, 1, 0, 0, 0, 1
"c:\Dev\gateway-web-app\Client\src\comps\AppRouter.jsx", "JavaScript", 90, 0, 0, 0, 59, 17, 166
"c:\Dev\gateway-web-app\Client\src\comps\Charts\Barchart\BarChartBox.jsx", "JavaScript", 30, 0, 0, 0, 1, 3, 34
"c:\Dev\gateway-web-app\Client\src\comps\Charts\LineChart\LineChartBox.jsx", "JavaScript", 28, 0, 0, 0, 1, 3, 32
"c:\Dev\gateway-web-app\Client\src\comps\Charts\PieChart\PieChartBox.css", "CSS", 0, 34, 0, 0, 1, 6, 41
"c:\Dev\gateway-web-app\Client\src\comps\Charts\PieChart\PieChartBox.jsx", "JavaScript", 48, 0, 0, 0, 1, 3, 52
"c:\Dev\gateway-web-app\Client\src\comps\DashboardAdmin\AdminDashboardHome.jsx", "JavaScript", 199, 0, 0, 0, 1, 12, 212
"c:\Dev\gateway-web-app\Client\src\comps\DashboardAdmin\AdminStudents\AdminStudentDetails.jsx", "JavaScript", 72, 0, 0, 0, 0, 10, 82
"c:\Dev\gateway-web-app\Client\src\comps\DashboardAdmin\AdminStudents\AdminStudents.jsx", "JavaScript", 93, 0, 0, 0, 0, 10, 103
"c:\Dev\gateway-web-app\Client\src\comps\DashboardAdmin\AdminTeachers\AdminTeacherDetails.jsx", "JavaScript", 74, 0, 0, 0, 0, 9, 83
"c:\Dev\gateway-web-app\Client\src\comps\DashboardAdmin\AdminTeachers\AdminTeachers.jsx", "JavaScript", 79, 0, 0, 0, 0, 9, 88
"c:\Dev\gateway-web-app\Client\src\comps\DashboardAdmin\Attendance\AttendanceClassView.jsx", "JavaScript", 76, 0, 0, 0, 1, 10, 87
"c:\Dev\gateway-web-app\Client\src\comps\DashboardAdmin\Attendance\AttendanceHome.jsx", "JavaScript", 211, 0, 0, 0, 3, 22, 236
"c:\Dev\gateway-web-app\Client\src\comps\DashboardAdmin\Attendance\ClassAttendanceDetails.jsx", "JavaScript", 72, 0, 0, 0, 0, 8, 80
"c:\Dev\gateway-web-app\Client\src\comps\DashboardAdmin\Attendance\ClassDailyAttendance.jsx", "JavaScript", 80, 0, 0, 0, 0, 9, 89
"c:\Dev\gateway-web-app\Client\src\comps\DashboardAdmin\Attendance\ClassesDailyAttendance.jsx", "JavaScript", 86, 0, 0, 0, 1, 10, 97
"c:\Dev\gateway-web-app\Client\src\comps\DashboardAdmin\Attendance\StudentAttendanceDetails.jsx", "JavaScript", 74, 0, 0, 0, 0, 8, 82
"c:\Dev\gateway-web-app\Client\src\comps\DashboardAdmin\DashboardAdmin.css", "CSS", 0, 138, 0, 0, 10, 26, 174
"c:\Dev\gateway-web-app\Client\src\comps\DashboardAdmin\Exams\AddExamSubject.jsx", "JavaScript", 264, 0, 0, 0, 10, 37, 311
"c:\Dev\gateway-web-app\Client\src\comps\DashboardAdmin\Exams\AdminExams.jsx", "JavaScript", 9, 0, 0, 0, 0, 3, 12
"c:\Dev\gateway-web-app\Client\src\comps\DashboardAdmin\Exams\ExamCompleted.jsx", "JavaScript", 93, 0, 0, 0, 1, 11, 105
"c:\Dev\gateway-web-app\Client\src\comps\DashboardAdmin\Exams\ExamDetails.jsx", "JavaScript", 311, 0, 0, 0, 7, 30, 348
"c:\Dev\gateway-web-app\Client\src\comps\DashboardAdmin\Exams\ExamHome.css", "CSS", 0, 47, 0, 0, 0, 9, 56
"c:\Dev\gateway-web-app\Client\src\comps\DashboardAdmin\Exams\ExamHome.jsx", "JavaScript", 133, 0, 0, 0, 1, 15, 149
"c:\Dev\gateway-web-app\Client\src\comps\DashboardAdmin\Exams\ExamList.jsx", "JavaScript", 399, 0, 0, 0, 6, 48, 453
"c:\Dev\gateway-web-app\Client\src\comps\DashboardAdmin\Exams\ExamOngoing.jsx", "JavaScript", 91, 0, 0, 0, 1, 11, 103
"c:\Dev\gateway-web-app\Client\src\comps\DashboardAdmin\Exams\ExamQuiz.css", "CSS", 0, 225, 0, 0, 4, 38, 267
"c:\Dev\gateway-web-app\Client\src\comps\DashboardAdmin\Exams\ExamSubjectsEdit.jsx", "JavaScript", 199, 0, 0, 0, 7, 25, 231
"c:\Dev\gateway-web-app\Client\src\comps\DashboardAdmin\Exams\Instructions.jsx", "JavaScript", 76, 0, 0, 0, 0, 5, 81
"c:\Dev\gateway-web-app\Client\src\comps\DashboardAdmin\Exams\QuestionDetails.jsx", "JavaScript", 142, 0, 0, 0, 1, 20, 163
"c:\Dev\gateway-web-app\Client\src\comps\DashboardAdmin\Exams\QuestionEdit.jsx", "JavaScript", 130, 0, 0, 0, 5, 14, 149
"c:\Dev\gateway-web-app\Client\src\comps\DashboardAdmin\Exams\Questions.jsx", "JavaScript", 96, 0, 0, 0, 1, 13, 110
"c:\Dev\gateway-web-app\Client\src\comps\DashboardAdmin\Exams\QuestionsAdd.jsx", "JavaScript", 228, 0, 0, 0, 7, 26, 261
"c:\Dev\gateway-web-app\Client\src\comps\DashboardAdmin\Reports\AdminReports.jsx", "JavaScript", 51, 0, 0, 0, 5, 11, 67
"c:\Dev\gateway-web-app\Client\src\comps\DashboardAdmin\Reports\ReportExamDetails.jsx", "JavaScript", 104, 0, 0, 0, 1, 12, 117
"c:\Dev\gateway-web-app\Client\src\comps\DashboardAdmin\Reports\ReportStudentDetails.jsx", "JavaScript", 116, 0, 0, 0, 1, 13, 130
"c:\Dev\gateway-web-app\Client\src\comps\DashboardAdmin\Timetable\AdminTimetable.jsx", "JavaScript", 236, 0, 0, 0, 13, 32, 281
"c:\Dev\gateway-web-app\Client\src\comps\DashboardAdmin\Timetable\SubjectAdd.jsx", "JavaScript", 121, 0, 0, 0, 4, 11, 136
"c:\Dev\gateway-web-app\Client\src\comps\DashboardAdmin\Timetable\SubjectItem.jsx", "JavaScript", 134, 0, 0, 0, 3, 21, 158
"c:\Dev\gateway-web-app\Client\src\comps\DashboardAdmin\Timetable\SubjectUpdate.jsx", "JavaScript", 51, 0, 0, 0, 1, 9, 61
"c:\Dev\gateway-web-app\Client\src\comps\DashboardAdmin\Timetable\Timetable.css", "CSS", 0, 32, 0, 0, 0, 4, 36
"c:\Dev\gateway-web-app\Client\src\comps\DashboardAdmin\UserAccounts.jsx", "JavaScript", 179, 0, 0, 0, 1, 20, 200
"c:\Dev\gateway-web-app\Client\src\comps\DashboardHeader\Header.css", "CSS", 0, 155, 0, 0, 11, 22, 188
"c:\Dev\gateway-web-app\Client\src\comps\DashboardHeader\Header.jsx", "JavaScript", 111, 0, 0, 0, 4, 8, 123
"c:\Dev\gateway-web-app\Client\src\comps\DashboardTeacher\AttendanceRecord\AttendanceAdd.jsx", "JavaScript", 160, 0, 0, 0, 9, 23, 192
"c:\Dev\gateway-web-app\Client\src\comps\DashboardTeacher\AttendanceRecord\AttendanceDaily.jsx", "JavaScript", 81, 0, 0, 0, 1, 9, 91
"c:\Dev\gateway-web-app\Client\src\comps\DashboardTeacher\AttendanceRecord\StudentDailyAttendance.jsx", "JavaScript", 78, 0, 0, 0, 0, 9, 87
"c:\Dev\gateway-web-app\Client\src\comps\DashboardTeacher\AttendanceRecord\TeacherAttendance.jsx", "JavaScript", 196, 0, 0, 0, 1, 20, 217
"c:\Dev\gateway-web-app\Client\src\comps\DashboardTeacher\TeacherProfile.jsx", "JavaScript", 194, 0, 0, 0, 6, 22, 222
"c:\Dev\gateway-web-app\Client\src\comps\DashboardTeacher\TeacherTimetable.jsx", "JavaScript", 84, 0, 0, 0, 0, 10, 94
"c:\Dev\gateway-web-app\Client\src\comps\Dashboard\Attendance.jsx", "JavaScript", 97, 0, 0, 0, 0, 15, 112
