"filename", "language", "JavaScript", "JSON", "comment", "blank", "total"
"c:\Dev\gateway-web-app\Server\MOCK_DATA.json", "JSON", 0, 37, 0, 1, 38
"c:\Dev\gateway-web-app\Server\auth\classes.js", "JavaScript", 18, 0, 3, 4, 25
"c:\Dev\gateway-web-app\Server\auth\login.js", "JavaScript", 61, 0, 14, 16, 91
"c:\Dev\gateway-web-app\Server\auth\register.js", "JavaScript", 212, 0, 71, 47, 330
"c:\Dev\gateway-web-app\Server\controllers\admin.js", "JavaScript", 82, 0, 6, 19, 107
"c:\Dev\gateway-web-app\Server\controllers\attendance.js", "JavaScript", 92, 0, 8, 22, 122
"c:\Dev\gateway-web-app\Server\controllers\exams.js", "JavaScript", 353, 0, 33, 90, 476
"c:\Dev\gateway-web-app\Server\controllers\reports.js", "JavaScript", 45, 0, 5, 12, 62
"c:\Dev\gateway-web-app\Server\controllers\student.js", "JavaScript", 106, 0, 5, 27, 138
"c:\Dev\gateway-web-app\Server\controllers\studentExam.js", "JavaScript", 0, 0, 0, 1, 1
"c:\Dev\gateway-web-app\Server\controllers\teachers.js", "JavaScript", 105, 0, 9, 31, 145
"c:\Dev\gateway-web-app\Server\controllers\timetable.js", "JavaScript", 98, 0, 41, 30, 169
"c:\Dev\gateway-web-app\Server\db.js", "JavaScript", 10, 0, 2, 3, 15
"c:\Dev\gateway-web-app\Server\middleware\authenticate.js", "JavaScript", 50, 0, 16, 15, 81
"c:\Dev\gateway-web-app\Server\middleware\authorize.js", "JavaScript", 0, 0, 0, 1, 1
"c:\Dev\gateway-web-app\Server\models\admin.js", "JavaScript", 215, 0, 24, 42, 281
"c:\Dev\gateway-web-app\Server\models\attendance.js", "JavaScript", 187, 0, 8, 35, 230
"c:\Dev\gateway-web-app\Server\models\exams.js", "JavaScript", 895, 0, 149, 181, 1225
"c:\Dev\gateway-web-app\Server\models\reports.js", "JavaScript", 74, 0, 9, 17, 100
"c:\Dev\gateway-web-app\Server\models\student.js", "JavaScript", 198, 0, 40, 48, 286
"c:\Dev\gateway-web-app\Server\models\teachers.js", "JavaScript", 193, 0, 17, 44, 254
"c:\Dev\gateway-web-app\Server\models\timetable.js", "JavaScript", 105, 0, 14, 26, 145
"c:\Dev\gateway-web-app\Server\package-lock.json", "JSON", 0, 1845, 0, 1, 1846
"c:\Dev\gateway-web-app\Server\package.json", "JSON", 0, 37, 0, 1, 38
"c:\Dev\gateway-web-app\Server\queries.js", "JavaScript", 28, 0, 1, 9, 38
"c:\Dev\gateway-web-app\Server\routes\admin.js", "JavaScript", 21, 0, 13, 13, 47
"c:\Dev\gateway-web-app\Server\routes\attendance.js", "JavaScript", 34, 0, 12, 12, 58
"c:\Dev\gateway-web-app\Server\routes\auth.js", "JavaScript", 9, 0, 4, 9, 22
"c:\Dev\gateway-web-app\Server\routes\exams.js", "JavaScript", 72, 0, 39, 36, 147
"c:\Dev\gateway-web-app\Server\routes\reports.js", "JavaScript", 11, 0, 8, 8, 27
"c:\Dev\gateway-web-app\Server\routes\student.js", "JavaScript", 31, 0, 12, 12, 55
"c:\Dev\gateway-web-app\Server\routes\teachers.js", "JavaScript", 32, 0, 11, 13, 56
"c:\Dev\gateway-web-app\Server\routes\timetable.js", "JavaScript", 13, 0, 10, 11, 34
"c:\Dev\gateway-web-app\Server\server.js", "JavaScript", 37, 0, 14, 19, 70
"c:\Dev\gateway-web-app\Server\serverData.js", "JavaScript", 53, 0, 12, 19, 84
"Total", "-", 3440, 1919, 610, 875, 6844
